paper_table,paper_row,comparison_tier,protocol,train_split,validation_split,eval_split,eval_denominator,seeds,seed_scope,output_mode,paper_metrics,artifact_metrics,numeric_match,method_code,evaluation_code,split_source,primary_result_artifact,per_seed_artifact,status,important_notes
V,Image + finding,RAD-DINO query ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,same trained checkpoint per seed; inference-time query masking,top-ranked box,mIoU=0.5288 +/- 0.0124; Hit@0.3=0.7423; Hit@0.5=0.6033,mIoU=0.5288 +/- 0.0124; Hit@0.3=0.7423; Hit@0.5=0.6033,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_V_QUERY_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
V,-f,RAD-DINO query ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,same trained checkpoint per seed; inference-time query masking,top-ranked box,mIoU=0.5479 +/- 0.0118; Hit@0.3=0.7771; Hit@0.5=0.6217,mIoU=0.5479 +/- 0.0118; Hit@0.3=0.7771; Hit@0.5=0.6217,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_V_QUERY_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
V,-laterality,RAD-DINO query ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,same trained checkpoint per seed; inference-time query masking,top-ranked box,mIoU=0.5418 +/- 0.0109; Hit@0.3=0.7648; Hit@0.5=0.6176,mIoU=0.5418 +/- 0.0109; Hit@0.3=0.7648; Hit@0.5=0.6176,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_V_QUERY_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
V,-vertical,RAD-DINO query ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,same trained checkpoint per seed; inference-time query masking,top-ranked box,mIoU=0.5454 +/- 0.0150; Hit@0.3=0.7730; Hit@0.5=0.6237,mIoU=0.5454 +/- 0.0150; Hit@0.3=0.7730; Hit@0.5=0.6237,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_V_QUERY_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
V,-severity,RAD-DINO query ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,same trained checkpoint per seed; inference-time query masking,top-ranked box,mIoU=0.5467 +/- 0.0109; Hit@0.3=0.7730; Hit@0.5=0.6176,mIoU=0.5467 +/- 0.0109; Hit@0.3=0.7730; Hit@0.5=0.6176,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_V_QUERY_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
V,-uncertainty,RAD-DINO query ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,same trained checkpoint per seed; inference-time query masking,top-ranked box,mIoU=0.5487 +/- 0.0105; Hit@0.3=0.7710; Hit@0.5=0.6237,mIoU=0.5487 +/- 0.0105; Hit@0.3=0.7710; Hit@0.5=0.6237,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_V_QUERY_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
V,-raw phrase hash (vq),RAD-DINO query ablation,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,same trained checkpoint per seed; inference-time query masking,top-ranked box,mIoU=0.5459 +/- 0.0088; Hit@0.3=0.7730; Hit@0.5=0.6196,mIoU=0.5459 +/- 0.0088; Hit@0.3=0.7730; Hit@0.5=0.6196,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_exact_final_ablation_v1\TABLE_V_QUERY_888.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VI,Full query,RAD-DINO query ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,same trained checkpoint per seed; inference-time query masking,variable set,C-IoU=0.5373 +/- 0.0035; U-IoU=0.5373 +/- 0.0035; F1@0.3=0.7727; F1@0.5=0.6148,C-IoU=0.5373 +/- 0.0035; U-IoU=0.5373 +/- 0.0035; F1@0.3=0.7727; F1@0.5=0.6148,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_VI_QUERY_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VI,Image + finding,RAD-DINO query ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,same trained checkpoint per seed; inference-time query masking,variable set,C-IoU=0.5232 +/- 0.0080; U-IoU=0.5226 +/- 0.0074; F1@0.3=0.7488; F1@0.5=0.5942,C-IoU=0.5232 +/- 0.0080; U-IoU=0.5226 +/- 0.0074; F1@0.3=0.7488; F1@0.5=0.5942,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_VI_QUERY_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VI,-f,RAD-DINO query ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,same trained checkpoint per seed; inference-time query masking,variable set,C-IoU=0.5339 +/- 0.0047; U-IoU=0.5335 +/- 0.0042; F1@0.3=0.7654; F1@0.5=0.6068,C-IoU=0.5339 +/- 0.0047; U-IoU=0.5335 +/- 0.0042; F1@0.3=0.7654; F1@0.5=0.6068,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_VI_QUERY_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VI,-laterality,RAD-DINO query ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,same trained checkpoint per seed; inference-time query masking,variable set,C-IoU=0.5334 +/- 0.0054; U-IoU=0.5334 +/- 0.0054; F1@0.3=0.7646; F1@0.5=0.6095,C-IoU=0.5334 +/- 0.0054; U-IoU=0.5334 +/- 0.0054; F1@0.3=0.7646; F1@0.5=0.6095,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_VI_QUERY_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VI,-vertical,RAD-DINO query ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,same trained checkpoint per seed; inference-time query masking,variable set,C-IoU=0.5376 +/- 0.0042; U-IoU=0.5375 +/- 0.0040; F1@0.3=0.7712; F1@0.5=0.6196,C-IoU=0.5376 +/- 0.0042; U-IoU=0.5375 +/- 0.0040; F1@0.3=0.7712; F1@0.5=0.6196,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_VI_QUERY_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VI,-severity,RAD-DINO query ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,same trained checkpoint per seed; inference-time query masking,variable set,C-IoU=0.5374 +/- 0.0042; U-IoU=0.5373 +/- 0.0041; F1@0.3=0.7727; F1@0.5=0.6156,C-IoU=0.5374 +/- 0.0042; U-IoU=0.5373 +/- 0.0041; F1@0.3=0.7727; F1@0.5=0.6156,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_VI_QUERY_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VI,-uncertainty,RAD-DINO query ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,same trained checkpoint per seed; inference-time query masking,variable set,C-IoU=0.5373 +/- 0.0035; U-IoU=0.5372 +/- 0.0035; F1@0.3=0.7712; F1@0.5=0.6148,C-IoU=0.5373 +/- 0.0035; U-IoU=0.5372 +/- 0.0035; F1@0.3=0.7712; F1@0.5=0.6148,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_VI_QUERY_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VI,-raw phrase hash (vq),RAD-DINO query ablation,legacy-1444 paper-selected path,814 groups / 998 boxes,125 groups / 166 boxes,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,same trained checkpoint per seed; inference-time query masking,variable set,C-IoU=0.5319 +/- 0.0062; U-IoU=0.5319 +/- 0.0063; F1@0.3=0.7651; F1@0.5=0.6073,C-IoU=0.5319 +/- 0.0062; U-IoU=0.5319 +/- 0.0063; F1@0.3=0.7651; F1@0.5=0.6073,True,scripts\run_clueground_exact_final_ablation_v1.py,scripts\compile_clueground_exact_final_ablation_v1.py ; src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_exact_final_ablation_v1\TABLE_VI_QUERY_1444.csv,experiments\clueground_exact_final_ablation_v1\per_seed_metrics.csv,SUPERSEDED_PRELIMINARY_PATH (VERIFIED),Preliminary hand-weighted scoring path of the submitted manuscript; superseded by the learned re-ranker rows (tables marked revised). Only the named RAD-DINO query block is masked. Phrase information can remain in YOLO finding selection and the downstream rule-context decoder. The final checkpoint has no independent multiplicity block.
VII,Deterministic context,separately trained common context scorer,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,context scorer seeds 13/42/2026 over seed-paired visual candidates,top-ranked box,mIoU=0.5609 +/- 0.0049; Hit@0.3=0.8098; Hit@0.5=0.6237,mIoU=0.5609 +/- 0.0049; Hit@0.3=0.8098; Hit@0.5=0.6237,True,scripts\run_clueground_context_ablation_no_siglip_v2.py,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_aggregate.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_per_seed.csv,VERIFIED,This is not an end-to-end replacement of the final ClueGround query. It changes a separate downstream context scorer while upstream phrase-conditioned candidates remain.
VII,SBERT,separately trained common context scorer,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,context scorer seeds 13/42/2026 over seed-paired visual candidates,top-ranked box,mIoU=0.5608 +/- 0.0066; Hit@0.3=0.8078; Hit@0.5=0.6278,mIoU=0.5608 +/- 0.0066; Hit@0.3=0.8078; Hit@0.5=0.6278,True,scripts\run_clueground_context_ablation_no_siglip_v2.py,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_aggregate.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_per_seed.csv,VERIFIED,This is not an end-to-end replacement of the final ClueGround query. It changes a separate downstream context scorer while upstream phrase-conditioned candidates remain.
VII,Raw phrase hash,separately trained common context scorer,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,context scorer seeds 13/42/2026 over seed-paired visual candidates,top-ranked box,mIoU=0.5608 +/- 0.0049; Hit@0.3=0.8098; Hit@0.5=0.6278,mIoU=0.5608 +/- 0.0049; Hit@0.3=0.8098; Hit@0.5=0.6278,True,scripts\run_clueground_context_ablation_no_siglip_v2.py,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_aggregate.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_per_seed.csv,VERIFIED,This is not an end-to-end replacement of the final ClueGround query. It changes a separate downstream context scorer while upstream phrase-conditioned candidates remain.
VII,Qwen2.5-0.5B,separately trained common context scorer,direct-888,638 phrases,87 phrases,163 phrases,163,13/42/2026,context scorer seeds 13/42/2026 over seed-paired visual candidates,top-ranked box,mIoU=0.5608 +/- 0.0040; Hit@0.3=0.8098; Hit@0.5=0.6299,mIoU=0.5608 +/- 0.0040; Hit@0.3=0.8098; Hit@0.5=0.6299,True,scripts\run_clueground_context_ablation_no_siglip_v2.py,src\baseline_repro\evaluator.py,experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\train.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\val.csv ; experiments\ms_cxr_medrpg_fair_retrain_final_v1\data\single_box_full_phrase\eval.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_aggregate.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_per_seed.csv,VERIFIED,This is not an end-to-end replacement of the final ClueGround query. It changes a separate downstream context scorer while upstream phrase-conditioned candidates remain.
VII narrative (1444),Raw phrase hash,separately trained common context scorer,legacy-1444 visual candidate path,814 groups,125 groups,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,context scorer seeds 13/42/2026,variable set,C-IoU=0.5369,C-IoU=0.5369,True,scripts\run_clueground_context_ablation_no_siglip_v2.py,src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_aggregate.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_per_seed.csv,VERIFIED,The PDF reports these 1444 values in prose rather than as Table VII columns.
VII narrative (1444),SBERT,separately trained common context scorer,legacy-1444 visual candidate path,814 groups,125 groups,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,context scorer seeds 13/42/2026,variable set,C-IoU=0.5359,C-IoU=0.5359,True,scripts\run_clueground_context_ablation_no_siglip_v2.py,src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_aggregate.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_per_seed.csv,VERIFIED,The PDF reports these 1444 values in prose rather than as Table VII columns.
VII narrative (1444),Qwen2.5-0.5B,separately trained common context scorer,legacy-1444 visual candidate path,814 groups,125 groups,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,context scorer seeds 13/42/2026,variable set,C-IoU=0.5373,C-IoU=0.5373,True,scripts\run_clueground_context_ablation_no_siglip_v2.py,src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_aggregate.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_per_seed.csv,VERIFIED,The PDF reports these 1444 values in prose rather than as Table VII columns.
VII narrative (1444),Deterministic context,separately trained common context scorer,legacy-1444 visual candidate path,814 groups,125 groups,220 groups / 280 boxes,220 groups / 280 boxes,13/42/2026,context scorer seeds 13/42/2026,variable set,C-IoU=0.5323,C-IoU=0.5323,True,scripts\run_clueground_context_ablation_no_siglip_v2.py,src\baseline_repro\evaluator.py,training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\train_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\val_inputs.jsonl ; training\three_task_clueground_vfm_finding_conditioned_v2\protocols\task_isolated\mscxr_multibox_1444\eval_inputs.jsonl,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_aggregate.csv,experiments\clueground_context_ablation_no_siglip_v2\metrics\context_per_seed.csv,VERIFIED,The PDF reports these 1444 values in prose rather than as Table VII columns.
